usdot_num,fmcsa_link,user_created,date_created,user_updated,date_updated,entity_type,operating_status,oos_date,legal_name,dba_name,physical_address,phone,mailing_address,state_carrier_id_number,mc_num,duns_number,power_units,drivers,mcs_150_form_date,operation_classification,carrier_type,cargo_types,us_vehicle_inspections,us_driver_inspections,us_hazmat_inspections,us_iep_inspections,us_vehicle_out_of_service,us_driver_out_of_service,us_hazmat_out_of_service,us_iep_out_of_service,us_vehicle_out_of_service_pct,us_driver_out_of_service_pct,us_hazmat_out_of_service_pct,us_iep_out_of_service_pct,us_vehicle_natl_avg_oos_pct,us_driver_natl_avg_oos_pct,us_hazmat_natl_avg_oos_pct,us_iep_natl_avg_oos_pct,us_crashes_fatal,us_crashes_injury,us_crashes_tow,us_crashes_total,canadian_vehicle_inspections,canadian_driver_inspections,canadian_vehicle_out_of_service,canadian_driver_out_of_service,canadian_vehicle_out_of_service_pct,canadian_driver_out_of_service_pct,carrier_safety_rating_rating_date,carrier_safety_rating_review_date,carrier_safety_rating_rating,carrier_safety_rating_type,mileage,mileage_year
1327398,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1327398,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:50.233Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:44.222Z,CARRIER/SHIPPER,NOT AUTHORIZED,,J'S & C'S MOVING & STORAGE LLC,DELICATE MOVING SYSTEMS,"3219 GARDENBROOK
            DALLAS, TX   75234",(214) 972-0502,"3219 GARDENBROOK
          DALLAS, TX   75234",,MC-454170,--,2,3,2022-02-07,Auth. For Hire,Intrastate Only (Non-HM),['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,1500,2021
1355837,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1355837,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:41.777Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:36.594Z,CARRIER,NOT AUTHORIZED,,ROLFE TRUCKING,JACKIE ROLFE,"1002 MONCLOVA CT
            DALLAS, TX   75217",(469) 648-7872,"1002 MONCLOVA CT
          DALLAS, TX   75217",,MC-520191,--,2,1,2010-07-21,Auth. For Hire,Intrastate Only (HM),['General Freight'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
1371525,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1371525,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:14.477Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:08.674Z,CARRIER,NOT AUTHORIZED,,KIMBER RELOCATION SERVICES,,"5342 MILLER AVE
            DALLAS, TX   75206",(214) 828-1175,"5342 MILLER AVE
          DALLAS, TX   75206",,,41-973-293,2,1,2009-09-23,Auth. For Hire,Intrastate Only (Non-HM),['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,12500,2008
1374192,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1374192,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:38.931Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:32.075Z,CARRIER,"AUTHORIZED FOR Property, HHG",,BJ&AS LOGISTICS LLC,,"16415 SW 95TH AVE
            MIAMI, FL   33157",(786) 991-3125,"16415 SW 95TH AVE
          MIAMI, FL   33157",,MC-873016,--,1,1,2023-02-17,Auth. For Hire,Interstate,"['General Freight', 'Household Goods', 'US Mail']",2,2,0,0,1,0,0,0,0.5,0.0,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,40328,2022
1374732,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1374732,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:51.080Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:46.013Z,CARRIER,NOT AUTHORIZED,,TEMPO MOVING & STORAGE,,"300 NE 67TH STREET
            MIAMI, FL   33138",(305) 759-5333,"300 NE 67TH STREET
          MIAMI, FL   33138",,,--,2,1,2005-05-19,Auth. For Hire,Intrastate Only (Non-HM),"['Household Goods', 'Commodities Dry Bulk']",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,30000,2004
1402695,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1402695,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:19.105Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:13.360Z,CARRIER,NOT AUTHORIZED,,LISHU CUI,LUCKY MOVING & REMODELING,"6402 SWIFT AVE S
            SEATTLE, WA   98108",(206) 359-1286,"6402 SWIFT AVE S
          SEATTLE, WA   98108",,,--,1,1,2014-08-13,Auth. For Hire,Intrastate Only (Non-HM),['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,240000,2013
1404929,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1404929,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:26.770Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:17.511Z,CARRIER,NOT AUTHORIZED,,AAA TRANSFER SERVICES INC,,"2649 NE 186 TERRACE
            MIAMI, FL   33180",(305) 910-1938,"2649 NE 186 TERRACE
          MIAMI, FL   33180",,MC-532888,--,1,1,2005-08-11,Auth. For Hire,Intrastate Only (Non-HM),"['General Freight', 'Household Goods']",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
1408123,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1408123,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:54.939Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:49.962Z,CARRIER,NOT AUTHORIZED,,TRIPOD SERVICES INC,,"21250 NE 9TH CT APT #3
            MIAMI, FL   33179",(786) 354-3513,"21250 NE 9TH CT APT #3
          MIAMI, FL   33179",,MC-533742,--,1,1,2022-05-06,Auth. For Hire,Interstate,['General Freight'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,10000,2021
1413859,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1413859,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:36.768Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:31.643Z,CARRIER,NOT AUTHORIZED,,PROGRESSIVE MOVING,,"11441 STEMMONS FRWY #231
            DALLAS, TX   75229",(972) 484-6035,"PO BOX 59956
          DALLAS, TX   75229",,MC-535293,--,1,1,2005-09-08,Auth. For Hire,Intrastate Only (Non-HM),['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
1415484,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1415484,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:02.333Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:56.345Z,CARRIER,NOT AUTHORIZED,,GOLD CARGO FREIGHT CORP,,"8233 NW 68 ST
            MIAMI, FL   33166",(305) 640-0505,"8233 NW 68 ST
          MIAMI, FL   33166",,,--,2,2,2013-07-23,Auth. For Hire,Intrastate Only (Non-HM),"['General Freight', 'Household Goods']",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,15000,2005
1439080,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1439080,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:34.629Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:27.732Z,CARRIER,AUTHORIZED FOR HHG,,ARTEMIS FINE ARTS INC,,"10405 SHADY TRAIL SUITE 100
            DALLAS, TX   75220",(214) 357-2577,"10405 SHADY TRAIL SUITE 100
          DALLAS, TX   75220",,MC-545887,13-446-7690,9,11,2022-12-27,Auth. For Hire,Interstate,"['General Freight', 'Household Goods', 'Metal: sheets, coils, rolls', 'Machinery, Large Objects', 'Intermodal Cont.', 'Commodities Dry Bulk', 'Refrigerated Food', 'Beverages', 'Paper Products', 'FINE ART']",14,28,0,0,1,1,0,0,0.07,0.04,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,2011-05-13,2010-10-22,Satisfactory,Compliance Review,494743,2022
1452423,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1452423,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:53.195Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:47.219Z,CARRIER,NOT AUTHORIZED,,E & E TRANSFER INC,,"2142 NW 99 AVE
            MIAMI, FL   33172",(305) 499-9996,"PO BOX 226798
          DORAL, FL   33222",,MC-783533,--,4,3,2020-04-01,Auth. For Hire,Intrastate Only (Non-HM),['General Freight'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,20000,2019
1452661,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1452661,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:48.770Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:42.436Z,CARRIER,"AUTHORIZED FOR Property, HHG",,D & M TRUCKING SERVICES CORP,,"7300 NW 27 AVE
            MIAMI, FL   33147",(305) 594-8521,"PO BOX  471595
          MIAMI, FL   33247",,MC-549238,--,16,16,2022-01-18,Auth. For Hire,Interstate,"['General Freight', 'Fresh Produce', 'Intermodal Cont.', 'Refrigerated Food']",7,10,0,0,1,1,0,0,0.14,0.1,,0.0,0.22,0.07,0.04,,0,2,2,4,0,0,0,0,0.0,0.0,2021-08-02,2021-06-17,Conditional,Compliance Review,1200000,2021
1456007,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1456007,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:23.031Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:17.316Z,CARRIER,AUTHORIZED FOR HHG,,MICHAEL D KING & CO INC,,"6740 OAKBROOK BLVD
            DALLAS, TX   75235",(972) 437-1788,"6740 OAKBROOK BLVD
          DALLAS, TX   75235",,MC-689097,--,2,4,2022-05-17,Auth. For Hire,Interstate,"['General Freight', 'Household Goods', 'FURNITURE, ART']",0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,40000,2010
1469775,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1469775,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:31.302Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:22.196Z,CARRIER,NOT AUTHORIZED,,ALLSTATE HEAVY TRANSPORT INC,,"22102 SW 88 CT
            MIAMI, FL   33189",(305) 684-9330,"8201 NW 66 ST SUITE 5
          MIAMI, FL   33166",,MC-567267,--,1,1,2006-03-03,Auth. For Hire,Intrastate Only (Non-HM),['General Freight'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
1473185,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1473185,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:08.052Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:02.200Z,CARRIER,NOT AUTHORIZED,,IMLACH & COLLINS BROTHERS LLC,,"4653 LESTON STE 706
            DALLAS, TX   75247",(972) 438-3222,"4653 LESTON STE 706
          DALLAS, TX   75247",,MC-554555,15-442-4902,18,15,2022-05-03,Auth. For Hire,Intrastate Only (Non-HM),['Household Goods'],1,1,0,0,1,0,0,0,1.0,0.0,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,300000,2021
1475638,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1475638,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:58.525Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:52.397Z,CARRIER,AUTHORIZED FOR HHG,,FLAT RATE MOVING AND STORAGE LLC,,"16501 NW 8TH AVE
            MIAMI, FL   33169",(305) 622-5262,"16501 NW 8TH AVE
          MIAMI, FL   33169",,MC-557005,--,7,7,2023-06-05,Auth. For Hire,Interstate,['Household Goods'],6,13,0,0,2,4,0,0,0.33,0.31,,0.0,0.22,0.07,0.04,,0,1,0,1,0,0,0,0,0.0,0.0,2010-11-03,2010-10-20,Satisfactory,Compliance Review,78950,2022
1541492,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1541492,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:33.668Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:26.342Z,CARRIER,NOT AUTHORIZED,,AOR EXPRESS LLC,,"6008 E LOVERS LN #211
            DALLAS, TX   75206",(214) 218-3988,"PO BOX 601173
          DALLAS, TX   75360",,MC-577672,--,4,1,2020-11-18,Auth. For Hire,Intrastate Only (Non-HM),['Paper Products'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,1,2019
1582742,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1582742,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:32:46.266Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:28:41.037Z,CARRIER,NOT AUTHORIZED,,SMALL TIME MOVERS INC,,"3835 SW 132 AVE
            MIAMI, FL   33175",(305) 223-4606,"3835 SW 132 AVE
          MIAMI, FL   33175",,,--,2,2,2006-12-13,Auth. For Hire,Intrastate Only (Non-HM),['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
1591775,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1591775,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:43.384Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:37.005Z,CARRIER,NOT AUTHORIZED,,CARSON SERVICES INCORPORATED,CSIMOVERS-CARSON SERVICES INC,"458 NORTH EAST 77 STREET
            MIAMI, FL   33138",(305) 491-0474,"458 NE 77 STREET
          MIAMI, FL   33138",,,--,1,1,2007-01-04,Auth. For Hire,Intrastate Only (Non-HM),['Household Goods'],0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,,
1616980,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1616980,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-16T20:31:50.740Z,88f52f6b-b3f1-4ef4-ad24-a605f568e3ef,2024-02-17T15:27:44.770Z,CARRIER,AUTHORIZED FOR HHG,,ZOLTAN SZABO ENTERPRISES INC,DESIGNERS' DELIVERY,"1110 INWOOD ROAD SUITE 102
            DALLAS, TX   75247",(214) 637-7727,"1110 INWOOD ROAD SUITE 102
          DALLAS, TX   75247",,MC-597591,12-791-7040,6,7,2022-08-11,Auth. For Hire,Interstate,"['General Freight', 'Household Goods', 'ANTIQUES, FURNIT']",1,2,0,0,0,0,0,0,0.0,0.0,,0.0,0.22,0.07,0.04,,0,0,0,0,0,0,0,0,0.0,0.0,,,None,None,38000,2021
